i,lat,lon,name
3344,53.811,-1.865,BINGLEY SAMOS
3348,53.34,-2.154,WOODFORD
99063,53.6,-2.183,ROCHDALE
310003,53.7958,-1.7579,BRADFORD
310013,53.479,-2.2465,MANCHESTER
310126,53.6139,-2.1604,ROCHDALE
324191,53.7268,-1.856,HALIFAX
324245,53.5443,-2.1173,OLDHAM
350052,53.3013,-2.2358,ALDERLEY EDGE
350064,53.8029,-1.8197,ALLERTON (WEST YORKSHIRE)
350066,53.6263,-1.7467,ALMONDBURY
350072,53.526,-2.0786,ALT
350104,53.4849,-2.2172,ANCOATS
350121,53.8338,-1.7086,APPERLEY BRIDGE
350162,53.494,-2.1026,ASHTON-UNDER-LYNE
350178,53.4734,-2.1237,AUDENSHAW
350198,53.7069,-2.1998,BACUP
350203,53.618,-2.1982,BAGSLATE MOOR
350204,53.3991,-2.2754,BAGULEY
350228,53.6105,-2.2055,BAMFORD
350237,53.8254,-1.7374,BANK TOP
350242,53.5118,-2.1071,BARDSLEY
350247,53.4271,-2.2659,BARLOW MOOR
350422,53.7669,-1.7306,BIERLEY
350435,53.8472,-1.8323,BINGLEY
350439,53.662,-1.8249,BIRCHENCLIFFE
350450,53.7294,-1.6611,BIRSTALL SMITHIES
350473,53.5207,-2.2131,BLACKLEY
350565,53.3674,-2.1626,BRAMHALL
350581,53.4233,-2.1123,BREDBURY
350598,53.8214,-2.2353,BRIERFIELD
350601,53.6995,-1.781,BRIGHOUSE
350607,53.4305,-2.1303,BRINNINGTON
350641,53.5239,-2.0457,BROOK BOTTOM
350678,53.4279,-2.2011,BURNAGE
350684,53.7892,-2.2535,BURNLEY
350685,53.7912,-2.2291,BURNLEY F.C.
350699,53.7673,-1.8074,BUTTERSHAW
350830,53.5931,-2.1712,CASTLETON (GREATER MANCHESTER)
350832,53.3377,-1.7784,CASTLETON YOUTH HOSTEL
350849,53.5447,-2.1389,CHADDERTON
350859,53.3254,-1.908,CHAPEL-EN-LE-FRITH
350875,53.3941,-2.2127,CHEADLE (GREATER MANCHESTER)
350876,53.4033,-2.1838,CHEADLE HEATH
350877,53.3799,-2.1917,CHEADLE HULME
350888,53.6062,-2.284,CHESHAM (GREATER MANCHESTER)
350915,53.4446,-2.2768,CHORLTON-CUM-HARDY
350939,53.4845,-2.182,CLAYTON (GREATER MANCHESTER)
350941,53.7828,-1.8168,CLAYTON (WEST YORKSHIRE)
350945,53.7228,-1.706,CLECKHEATON
351009,53.4871,-2.0406,COPLEY
351025,53.83,-1.8193,COTTINGLEY
351091,53.5828,-2.0881,CROMPTON
351103,53.7964,-1.7998,CROSSLEY HALL
351108,53.4932,-1.883,CROWDEN-IN-LONGDENDALE
351137,53.624,-2.2089,CUTGATE
351144,53.8062,-1.8148,DAISY HILL
351159,53.4556,-2.1418,DANE BANK
351174,53.3882,-2.1505,DAVENPORT
351182,53.465,-2.1617,DEBDALE
351184,53.6727,-1.7567,DEIGHTON (WEST YORKSHIRE)
351188,53.5743,-1.6514,DENBY DALE
351194,53.455,-2.1132,DENTON
351205,53.6952,-1.6639,DEWSBURY MOOR
351207,53.4138,-2.233,DIDSBURY
351214,53.3581,-2.0406,DISLEY
351254,53.4805,-2.1473,DROYLSDEN
351267,53.4785,-2.0931,DUKINFIELD
351307,53.4095,-2.2257,EAST DIDSBURY
351337,53.8224,-1.7143,ECCLESHILL
351339,53.3787,-1.791,EDALE YOUTH HOSTEL
351350,53.6555,-1.8019,EDGERTON
351369,53.6833,-1.8434,ELLAND
351423,53.5079,-2.163,FAILSWORTH
351425,53.5969,-2.2674,FAIRFIELD (NR BURY)
351426,53.4762,-2.1504,FAIRFIELD (NR TAMESIDE)
351433,53.4408,-2.2245,FALLOWFIELD
351446,53.8117,-1.6701,FARSLEY
351453,53.6346,-1.7143,FENAY BRIDGE
351472,53.6163,-2.1237,FIRGROVE
351478,53.829,-1.7379,FIVE LANE ENDS
351488,53.3977,-2.1131,FOGGBROOK
351516,53.6005,-2.2774,FREE TOWN
351521,53.8207,-1.7952,FRIZINGHALL
351534,53.8277,-1.7573,GAISBY
351549,53.3926,-2.2432,GATLEY
351556,53.4398,-2.0667,GEE CROSS
351563,53.5822,-2.2846,GIGG
351565,53.3562,-2.201,GILBENT
351573,53.8029,-1.7999,GIRLINGTON
351607,53.4423,-1.9446,GLOSSOP
351614,53.4572,-2.0744,GODLEY
351634,53.4626,-2.1758,GORTON
351667,53.7838,-1.7979,GREAT HORTON
351678,53.5447,-2.0805,GREENACRES
351679,53.8334,-1.7322,GREENGATES
351698,53.4816,-2.1096,GUIDE BRIDGE
351730,53.7398,-1.8593,HALIFAX SKI & SNOWBOARD CENTRE
351751,53.3499,-2.2143,HANDFORTH
351769,53.5062,-2.2141,HARPURHEY
351786,53.3322,-1.6538,HATHERSAGE YOUTH HOSTEL
351787,53.5239,-2.11,HATHERSHAW
351788,53.4498,-2.0357,HATTERSLEY
351789,53.4454,-2.107,HAUGHTON GREEN
351799,53.8361,-1.9426,HAWORTH YOUTH HOSTEL
351809,53.376,-2.1105,HAZEL GROVE
351813,53.3702,-2.2253,HEALD GREEN
351815,53.6383,-2.178,HEALEY
351825,53.8156,-1.8001,HEATON (WEST YORKSHIRE)
351826,53.4306,-2.1737,HEATON CHAPEL
351827,53.534,-2.2512,HEATON HALL
351828,53.4139,-2.2028,HEATON MERSEY
351829,53.4148,-2.1766,HEATON NORRIS
351831,53.7431,-2.0115,HEBDEN BRIDGE
351834,53.7068,-1.6692,HECKMONDWIKE
351868,53.4952,-2.0465,HEYROD
351869,53.5658,-2.0992,HEYSIDE
351870,53.5924,-2.2242,HEYWOOD
351877,53.583,-2.1069,HIGH CROMPTON
351885,53.5307,-2.2242,HIGHER BLACKLEY
351886,53.5063,-2.2604,HIGHER BROUGHTON
351902,53.5205,-2.2765,HILTON PARK
351919,53.5717,-2.2856,HOLLINS
351924,53.5715,-1.7848,HOLMFIRTH
351934,53.602,-1.7927,HONLEY
351960,53.4688,-1.7567,HOWDEN MOORS
351968,53.6456,-1.7835,HUDDERSFIELD
351980,53.498,-2.0819,HURST
351985,53.4527,-2.0813,HYDE
351990,53.8366,-1.7349,IDLE
352000,53.7588,-1.889,ILLINGWORTH
352044,53.6006,-2.2498,JERICHO
352142,53.6083,-1.6996,KIRKBURTON
352166,53.3575,-2.1728,KITT'S MOSS
352194,53.7921,-1.716,LAISTERDYKE
352214,53.5032,-1.6769,LANGSETT YOUTH HOSTEL
352246,53.5386,-2.0681,LEES
352272,53.4509,-2.1913,LEVENSHULME
352288,53.518,-2.126,LIME SIDE
352290,53.5101,-2.103,LIMEHURST
352307,53.784,-1.7835,LITTLE HORTON
352313,53.6459,-2.0919,LITTLEBOROUGH
352319,53.7098,-1.6955,LIVERSEDGE
352452,53.7537,-1.7563,LOW MOOR
352454,53.5153,-2.2852,LOWER KERSAL
352467,53.5686,-2.1044,LUZLEY BROOK
352474,53.334,-2.0499,LYME HALL
352508,53.3577,-2.2668,MANCHESTER AIRPORT
352509,53.4835,-2.2041,MANCHESTER CITY F.C.
352511,53.4776,-2.2548,MANCHESTER YOUTH HOSTEL
352514,53.7101,-2.0591,MANKINHOLES YOUTH HOSTEL
352515,53.8064,-1.7707,MANNINGHAM
352543,53.5991,-2.1892,MARLAND
352547,53.3971,-2.0602,MARPLE
352549,53.5995,-1.9286,MARSDEN (WEST YORKSHIRE)
352607,53.5921,-1.8498,MELTHAM
352623,53.5457,-2.2005,MIDDLETON (GREATER MANCHESTER)
352628,53.4891,-1.6439,MIDHOPESTONES
352632,53.4907,-2.2138,MILES PLATTING
352637,53.4909,-2.0305,MILLBROOK (GREATER MANCHESTER)
352644,53.6105,-2.1151,MILNROW
352645,53.6374,-1.8192,MILNSBRIDGE
352657,53.6799,-1.6952,MIRFIELD
352670,53.8321,-1.7955,MOOR HEAD
352671,53.7504,-1.7659,MOOR SIDE
352672,53.5642,-2.0709,MOORSIDE (NR OLDHAM)
352693,53.3651,-2.2464,MOSS NOOK
352694,53.4534,-2.2396,MOSS SIDE
352695,53.5144,-2.0372,MOSSLEY
352696,53.512,-2.1846,MOSTON
352733,53.7425,-2.0227,MYTHOLM
352735,53.8316,-1.8075,NAB WOOD
352749,53.835,-2.2179,NELSON
352754,53.6696,-1.7975,NETHEROYD HILL
352769,53.3616,-1.9993,NEW MILLS
352820,53.4656,-2.065,NEWTON (GREATER MANCHESTER)
352825,53.4993,-2.1832,NEWTON HEATH
352838,53.3698,-2.121,NORBURY MOOR
352839,53.6262,-2.2199,NORDEN
352843,53.6999,-1.6914,NORRISTHORPE
352860,53.4104,-2.258,NORTHENDEN
352861,53.4087,-2.2821,NORTHERN MOOR
352893,53.3937,-2.1243,OFFERTON
352894,53.3948,-2.0988,OFFERTON GREEN
352898,53.4566,-2.286,OLD TRAFFORD LANCASHIRE C.C.C.
352900,53.8373,-1.9905,OLDFIELD
352903,53.55,-2.1186,OLDHAM EDGE
352910,53.4738,-2.2766,ORDSALL
352927,53.743,-1.8764,OVENDEN
352937,53.6477,-1.8133,PADDOCK
352951,53.5199,-2.0868,PARK BRIDGE
353018,53.5901,-2.2824,PIMHOLE
353108,53.3484,-2.1201,POYNTON
353118,53.5268,-2.2792,PRESTWICH
353127,53.7953,-1.6612,PUDSEY
353134,53.7697,-1.8411,QUEENSBURY
353169,53.6774,-1.6593,RAVENSTHORPE
353180,53.4418,-2.1582,REDDISH
353210,53.4908,-2.0594,RIDGE HILL
353221,53.6992,-1.701,ROBERTTOWN
353234,53.4147,-2.0756,ROMILEY
353273,53.5669,-2.1199,ROYTON
353286,53.4528,-2.2086,RUSHOLME
353364,53.8142,-1.8343,SANDY LANE
353461,53.3936,-2.2533,SHARSTON
353462,53.5799,-2.09,SHAW
353463,53.6281,-2.1711,SHAWCLOUGH
353489,53.7261,-1.8371,SHIBDEN HALL
353494,53.8357,-1.7755,SHIPLEY
353505,53.648,-2.1172,SHORE
353530,53.5917,-1.6494,SKELMANTHORPE
353535,53.7713,-1.7971,SLACK SIDE
353537,53.6183,-1.8797,SLAITHWAITE
353545,53.6324,-2.133,SMALLBRIDGE
353548,53.367,-2.1885,SMITHY GREEN
353611,53.7065,-1.9119,SOWERBY BRIDGE
353643,53.4836,-2.0486,STALYBRIDGE
353658,53.5615,-2.1878,STANYCLIFFE
353698,53.4065,-2.1574,STOCKPORT
353759,53.5981,-2.1785,SUDDEN
353793,53.8111,-1.6587,SWINNOW
353799,53.6316,-2.1593,SYKE
353837,53.8427,-1.7328,THACKLEY
353930,53.7161,-2.0973,TODMORDEN
353941,53.7682,-1.7096,TONG STREET
353945,53.5586,-2.1953,TOP OF HEBERS
353949,53.3784,-2.1013,TORKINGTON
354001,53.7884,-1.7159,TYERSAL
354002,53.784,-1.7012,TYERSAL GATE
354018,53.8113,-1.7292,UNDERCLIFFE
354020,53.5624,-2.2765,UNSWORTH
354028,53.5515,-2.0068,UPPERMILL
354100,53.5537,-2.0772,WATERSHEDDINGS
354132,53.4219,-2.2511,WEST DIDSBURY
354134,53.4692,-2.2018,WEST GORTON
354171,53.3288,-1.9807,WHALEY BRIDGE
354173,53.4475,-2.2546,WHALLEY RANGE
354211,53.6602,-2.171,WHITWORTH
354212,53.7689,-1.7829,WIBSEY
354237,53.3277,-2.228,WILMSLOW
354271,53.4305,-2.2241,WITHINGTON (GREATER MANCHESTER)
354295,53.4301,-2.0938,WOODLEY
354308,53.4587,-1.9857,WOOLLEY BRIDGE
354327,53.8319,-1.7601,WROSE
354331,53.7375,-1.7651,WYKE
354338,53.3878,-2.2652,WYTHENSHAWE
354382,53.7813,-1.7305,WEST BOWLING
354845,53.5002,-1.6839,LANGSETT BARN
354988,53.3673,-1.8166,EDALE MOORLAND CENTRE
354989,53.4599,-1.8625,BLEAKLOW
354991,53.4158,-1.7449,DERWENT VALLEY
371333,53.5218,-1.9955,ALPHIN PIKE
371354,53.5385,-1.882,BLACK HILL
371367,53.8167,-2.1068,BOULSWORTH HILL
371371,53.3627,-1.8742,BROWN KNOLL
371445,53.3269,-1.8272,ELDON HILL
371458,53.4252,-1.8633,FEATHERBED TOP
371505,53.3642,-1.6571,HIGH NEB
371526,53.3801,-1.8812,KINDER LOW
371546,53.3648,-1.7694,LOSE HILL
371552,53.349,-1.8082,MAM TOR
371553,53.4574,-1.7152,MARGERY HILL
371572,53.6149,-2.0141,MOSS MOOR
371647,53.4326,-1.8673,SNAKE PASS
371662,53.3849,-1.8684,THE PEAK
371686,53.6667,-2.2653,WHITTLE HILL
371688,53.3621,-1.7193,WIN HILL
